2023-08-22	2023-08-22	FuckHub	programming/fuckhub.gmi	en
2023-08-21	2023-08-21	WILDER, an indie magazine about nature (in Portuguese)	nature/wilder.gmi	en
2023-08-20	2023-08-20	Booklet printing	kB45oC/booklet_printing.gmi	en
2023-08-09	2023-08-09	The Pompous Dog	words/pompous_dog.gmi	en
2023-06-18	2023-06-18	RE: Division, remainder, mod ➗%❓	algebra/re-division_remainder_mod.gmi	2023/06/18
2023-06-17	2023-06-17	MODULO IS NOT REMAINDER	algebra/mod_not_rem.gmi	en
2023-05-15	2023-05-15	(Un)free public service	kB45oC/unfree-public-service.gmi	en
2023-05-12	2023-05-12	RE: Two Energy Crises	kB45oC/re-two-energy-crises.gmi	en
2023-05-12	2023-05-12	RE: The Trouble With IDEs	programming/re-the-trouble-with-ides.gmi	en
2023-05-10	2020-05-26	just quotes	words/quotes.gmi	en
2023-04-22	2023-04-22	Abstraction is great	programming/abstraction-is-great.gmi	en
2023-04-17	2023-04-17	RE: Bitcoin Still 3x Better For Environment Than Cars	kB45oC/re-bitcoin-co2.gmi	en
2023-04-16	2023-03-19	Societal slavery	philosophy/societal-slavery.gmi	en
2023-04-08	2023-04-08	WTF ASM	programming/wtf-asm.gmi	en
2023-03-04	2023-03-04	Transitive reduction	programming/transitive-reduction.gmi	en
2023-02-26	2023-02-26	Why we throw rice at weddings	kB45oC/why-throw-rice-at-weddings.gmi	en
2023-02-10	2023-02-10	Am I fucked in the head?	psychology/head-fucked.gmi	en
2023-01-31	2023-01-31	Fecking Bahamas	music/fecking_bahamas.gmi	en
2023-01-20	2023-01-20	No problem there	kB45oC/no-problem.gmi	en
2023-01-15	2023-01-15	Faz bem rezar (RE: Es bueno rezar)	words/re-bueno_rezar.gmi	pt
2023-01-15	2023-01-06	村上 春樹、「夜中の汽笛について、あるいは物語の効用について」	nihongo/murakami_hiroki.yonaka_no_kiteki.gmi	ja
2023-01-09	2023-01-09	So you do like beer after all	psychology/so_you_like_beer.gmi	en
2023-01-09	2023-01-09	On Gemini mentions	meta/gemini-mentions.gmi	en
2023-01-09	2023-01-09	All is fucked	kB45oC/all_is_fucked.gmi	en
2022-12-28	2022-03-26	Overpass	osm/overpass.gmi	en
2022-11-20	2022-11-20	Trolley problem	philosophy/trolley-problem.gmi	en
2022-11-09	2022-11-09	Pagat Archive	kB45oC/pagat-archive.gmi	en
2022-10-15	2019-08-13	Exceptions (aka Conditions) in Scheme	scheme/exceptions.gmi	en
2022-09-20	2022-09-20	Far vs Around Games	kB45oC/far-vs-around-games.gmi	en
2022-09-20	2022-09-19	NHK Easy News	nihongo/nhk-easy-news.gmi	ja
2022-09-19	2022-09-19	RE: Technology and Conscience	philosophy/re-tech-and-conscience.gmi	en
2022-09-18	2022-09-18	On knives and their uses	philosophy/knives.gmi	en
2022-09-16	2022-09-15	The Toothpaste Argument	kB45oC/toothpaste-argument.gmi	en
2022-09-15	2022-09-15	No bookbinding for you	kB45oC/no-bookbinding.gmi	en
2022-09-12	2022-09-12	Moving tons	kB45oC/moving-tons.gmi	en
2022-08-28	2022-08-27	自己紹介	nihongo/jikoshoukai.gmi	ja
2022-08-25	2022-08-25	RE: Open content that you can contribute to	kB45oC/re-open-content.gmi	en
2022-08-23	2022-08-22	RFC: alist-let	scheme/alist-let.gmi	en
2022-08-21	2022-08-21	RE: Brain Fart	kB45oC/re-brain_fart.gmi	en
2022-08-21	2022-08-21	gemini:// to Gemini Portal	meta/portal.gmi	en
2022-08-19	2022-08-19	Petri Nets Log #006	petri_nets/log006.gmi	en
2022-08-17	2022-08-17	Reclog	meta/reclog.gmi	en
2022-08-15	2022-08-15	Petri Nets Log #005	petri_nets/log005.gmi	en
2022-08-11	2022-08-10	RE: Zettelkasten Utility	kB45oC/zettelkasten_utility.gmi	en
2022-08-08	2022-08-07	Gemini IPFS gateway	projects/gemini-ipfs-gateway.gmi	en
2022-08-07	2022-08-07	Naturally Ungood	psychology/naturally-ungood.gmi	en
2022-08-06	2022-08-06	Custom Gemini Handlers	kB45oC/gemini-handlers.gmi	en
2022-08-04	2022-08-04	Petri Nets Log #004	petri_nets/log004.gmi	en
2022-08-03	2022-06-23	Post dates	meta/dates.gmi	en
2022-08-02	2022-08-01	RE: Misadventures with bash shell	programming/shell.gmi	en
2022-07-31	2022-07-30	Offline Code Reviews	programming/ocr.gmi	en
2022-07-28	2022-06-07	Flexibility & Relations	philosophy/flexibility-relations.gmi	en
2022-07-28	2022-06-01	Flexibility & Life	philosophy/flexibility-life.gmi	en
2022-07-28	2022-05-05	Fagots	psychology/fagots.gmi	en
2022-07-28	2022-04-09	Bill Gates, "How to Avoid a Climate Disaster"	books/bill_gates.how_to_avoid_a_climate_disaster.gmi	en
2022-07-28	2021-07-12	OpenStreetMap Cheat Sheet	osm/cheatsheet.md	en
2022-07-27	2020-12-30	Hard Determinism	philosophy/hard_determinism.gmi	en
2022-07-24	2022-07-23	Petri Nets Log #003	petri_nets/log003.gmi	en
2022-07-24	2022-07-23	ipfs.scm	projects/ipfs.gmi	en
2022-07-24	2022-04-05	IPFS Quickstart	care/ipfs.gmi	en
2022-07-23	2022-06-23	Petri Nets Log #002	petri_nets/log002.gmi	en
2022-07-23	2022-05-16	Petri Nets Log #001	petri_nets/log001.gmi	en
2022-07-15	2020-02-20	Psychology Links	psychology/links.gmi	en
2022-07-15	2020-02-20	Philosophy Links	philosophy/links.gmi	en
2022-07-15	2020-02-20	Groups	algebra/groups.gmi	en
2022-07-14	2022-01-12	Gnuplot Quickstart	kB45oC/gnuplot.gmi	en
2022-07-14	2021-07-23	Faucets	algebra/faucets.gmi	en
2022-07-14	2019-10-15	Category Theory and Performance	algebra/cat_theory_perf.gmi	en
2022-07-14	2019-10-01	GraphViz Scheme DSL	scheme/gv-dsl.gmi	en
2022-07-08	2022-02-01	Donating	philosophy/donating.gmi	en
2022-07-08	2022-01-22	prettymaps	osm/prettymaps.gmi	en
2022-07-07	2022-06-09	Content-based Mirrors	kB45oC/mirrors.gmi	en
2022-07-07	2022-05-31	The COVID Experience	words/covid.gmi	en
2022-07-07	2022-05-11	Water Stations	kB45oC/water_stations.gmi	en
2022-07-07	2022-03-15	Reader Syntax	scheme/reader-syntax.gmi	en
2022-07-07	2022-02-17	Butterfly Effect	philosophy/butterfly_effect.gmi	en
2022-07-07	2022-02-13	Double Transposition Cipher	crypto/double_transposition.gmi	en
2022-07-07	2022-01-09	Pipes	scheme/pipes.gmi	en
2022-07-07	2021-12-15	Naming Operations rather than Variables	functional_programming/naming.gmi	en
2022-07-07	2020-11-06	CVE-2020-26935	work/CVE-2020-26935.gmi	en
2022-07-07	2020-04-30	Credit	work/credit.gmi	en
2022-07-07	2019-10-13	kless	scheme/kless.gmi	en
2022-07-05	2022-07-05	Scheme Gemtext Reader	projects/gemtext.gmi	en
2022-07-04	2022-01-09	Care list	care/list.gmi	en
2022-05-16	2022-05-16	Petri Nets Logs	petri_nets/logs.gmi	en
